publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2018p371534,,2018-05-18T11:13:48.826Z,2018-05-18T11:15:55.741Z,176.469659,-38.10063545,2.123583253,93.125,M,,NonLinLoc,,automatic,nz3drx,18,18,11,0.3996779802,94.08602902,1.036195008,0
2018p371524,,2018-05-18T11:08:07.588Z,2018-05-18T11:11:14.319Z,176.4213445,-38.63584892,2.570467678,35.9375,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.3208135882,89.12864378,1.012353739,0
2018p371522,,2018-05-18T11:07:52.580Z,2018-05-18T11:10:15.835Z,177.8005036,-37.53871863,2.432240763,60.3125,M,,NonLinLoc,,automatic,nz3drx,39,39,18,0.2187671089,200.7200383,1.558857835,0
2018p371484,,2018-05-18T10:46:53.212Z,2018-05-18T10:50:03.338Z,176.6698303,-37.55683003,2.93113372,161.5625,M,,NonLinLoc,,automatic,nz3drx,70,70,36,0.3066688519,132.3083636,2.207907053,0
2018p371414,,2018-05-18T10:09:46.453Z,2018-05-18T10:11:14.894Z,177.4013225,-37.57460592,2.139610088,9.21875,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1725107843,164.8892172,1.205659039,0
2018p371326,,2018-05-18T09:22:33.843Z,2018-05-18T09:23:28.243Z,175.7468805,-39.42125632,0.3955827973,16.015625,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.01374146236,173.5852352,0.2933324958,0
2018p371321,,2018-05-18T09:19:53.132Z,2018-05-18T09:22:16.340Z,171.4460281,-43.21087006,2.541413851,9.921875,M,,NonLinLoc,,automatic,nz3drx,26,26,11,0.3342688908,74.23632231,0.890130351,0
2018p371318,,2018-05-18T09:18:29.665Z,2018-05-18T09:24:32.469Z,176.9200689,-39.56516813,2.381120469,21.640625,M,,NonLinLoc,,automatic,nz3drx,47,47,31,0.1502650084,78.59307794,0.6149078238,0
2018p371314,,2018-05-18T09:16:13.315Z,2018-05-18T09:18:15.776Z,175.3994568,-40.17857509,1.977622091,35.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.4988484267,127.3267683,0.380691477,0
2018p371300,,2018-05-18T09:08:52.479Z,2018-05-18T09:17:36.124Z,177.0876025,-38.64670882,2.134910741,5.1171875,M,,NonLinLoc,,automatic,nz3drx,41,41,24,0.08766293237,36.91268456,0.657875332,0
2018p371293,,2018-05-18T09:05:24.474Z,2018-05-18T09:16:38.512Z,176.2109804,-39.59036304,2.424557835,34.765625,M,,NonLinLoc,,automatic,nz3drx,57,57,33,0.1322393658,45.94527842,0.5085688498,0
2018p371165,,2018-05-18T07:56:51.342Z,2018-05-18T08:00:19.970Z,178.3761904,-37.60993433,2.485882295,24.6875,M,,NonLinLoc,,automatic,nz3drx,28,28,15,0.07012838255,223.9941677,0.7386264834,0
2018p371129,,2018-05-18T07:38:07.417Z,2018-05-18T07:39:15.584Z,175.6081371,-39.38453116,0.6309914016,5.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.05616660838,177.8677586,0.5155314188,0
2018p371093,,2018-05-18T07:18:22.970Z,2018-05-18T07:19:35.800Z,170.8156614,-43.2896891,1.763612547,5.234375,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.2227481247,80.79294649,0.5439952319,0
2018p371035,,2018-05-18T06:47:43.626Z,2018-05-18T06:50:46.492Z,176.8043117,-39.86245557,2.425779057,40.15625,M,,NonLinLoc,,automatic,nz3drx,47,47,25,0.08820564314,116.4075278,0.6506600545,0
2018p371032,,2018-05-18T06:46:16.709Z,2018-05-18T06:48:17.471Z,176.3895967,-40.52413749,1.894014576,15.078125,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.09198279324,169.0738885,0.370921543,0
2018p371023,,2018-05-18T06:41:52.136Z,2018-05-18T06:44:39.443Z,177.1675818,-37.01577308,2.685497979,119.375,M,,NonLinLoc,,automatic,nz3drx,24,24,13,0.8682075927,215.1254805,2.306121884,0
2018p370809,,2018-05-18T04:47:34.682Z,2018-05-18T04:49:20.901Z,174.8080042,-39.5620345,1.951158803,26.09375,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.2349917829,78.84728736,0.4968316557,0
2018p370790,,2018-05-18T04:37:18.593Z,2018-05-18T04:41:08.074Z,174.4923665,-41.53001352,2.524355715,10.859375,M,,NonLinLoc,,automatic,nz3drx,39,39,18,0.3056072408,124.9668659,1.472566797,0
2018p370780,,2018-05-18T04:32:00.140Z,2018-05-18T04:36:28.395Z,176.0761892,-38.35686269,3.628276704,143.28125,M,,NonLinLoc,,automatic,nz3drx,157,157,106,0.02769116215,45.85248798,1.377659502,0
2018p370750,,2018-05-18T04:15:41.858Z,2018-05-18T04:18:25.446Z,175.4519069,-40.90296739,2.28030113,22.109375,M,,NonLinLoc,,automatic,nz3drx,24,24,13,0.04794491397,43.80310519,0.4950846927,0
2018p370747,,2018-05-18T04:14:30.026Z,2018-05-18T04:17:29.597Z,173.710197,-41.98005361,2.851407332,14.375,M,,NonLinLoc,,automatic,nz3drx,37,37,17,0.2919513889,124.9782332,1.445922252,0
2018p370738,,2018-05-18T04:09:42.961Z,2018-05-18T04:11:31.351Z,173.7488261,-41.97117118,2.164202167,15.3125,M,,NonLinLoc,,automatic,nz3drx,15,15,5,0.2724244372,150.4202543,0.5889280768,0
2018p370723,,2018-05-18T04:01:24.159Z,2018-05-18T04:03:38.593Z,173.6996748,-41.96806513,2.646070345,15.78125,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.2847268679,137.5679252,0.4772894394,0
2018p370720,,2018-05-18T03:59:43.650Z,2018-05-18T04:02:55.713Z,173.7474475,-42.01952173,3.57347188,18.59375,M,,NonLinLoc,,automatic,nz3drx,72,72,48,0.3185007122,128.3478829,1.665852741,0
2018p370593,,2018-05-18T02:52:24.138Z,2018-05-18T02:54:50.603Z,175.9166016,-40.49583951,2.715850006,5.46875,M,,NonLinLoc,,automatic,nz3drx,21,21,15,0.07219509925,187.0254393,1.908590587,0
2018p370587,earthquake,2018-05-18T02:49:32.976Z,2018-05-18T09:16:01.801Z,175.2624664,-41.17365646,1.544711243,22.77991676,M,,LOCSAT,confirmed,manual,iasp91,17,9,6,0.1622664332,86.02041626,0.3611228203,0
2018p370538,,2018-05-18T02:22:39.279Z,2018-05-18T02:25:05.601Z,175.9009987,-38.93663354,2.254410217,126.875,M,,NonLinLoc,,automatic,nz3drx,29,29,13,0.462052662,120.4830601,1.303897675,0
2018p370509,,2018-05-18T02:07:34.874Z,2018-05-18T02:10:05.484Z,176.0792452,-38.63201669,2.54239538,155.9375,M,,NonLinLoc,,automatic,nz3drx,45,45,22,0.5673936635,193.1817009,1.725869827,0
2018p370330,,2018-05-18T00:32:19.872Z,2018-05-18T00:33:57.698Z,175.75938,-40.83541064,2.166093333,24.921875,M,,NonLinLoc,,automatic,nz3drx,21,21,14,0.1127435356,59.16160496,0.4355073707,0
2018p370308,,2018-05-18T00:20:10.741Z,2018-05-18T00:21:06.583Z,175.4535524,-39.09803674,0.9061761627,5.46875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.02795403354,131.3436418,0.4595384509,0
2018p370238,,2018-05-17T23:43:09.337Z,2018-05-17T23:45:06.504Z,176.4741293,-38.79747548,2.088411708,47.1875,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.2888157431,109.9380668,1.053647995,0
2018p370067,,2018-05-17T22:11:58.855Z,2018-05-17T22:42:50.498Z,174.2985434,-41.69530203,1.732911571,14.84375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.08456067759,154.3410158,0.4889018811,0
2018p370009,,2018-05-17T21:41:01.880Z,2018-05-17T22:42:46.979Z,177.0311629,-38.93366975,1.68598644,31.484375,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.04613239117,86.94579518,0.4342525145,0
2018p370003,,2018-05-17T21:37:49.432Z,2018-05-17T21:39:33.577Z,174.4494688,-41.54960234,2.130949012,15.78125,M,,NonLinLoc,,automatic,nz3drx,18,18,10,0.269205376,124.7358299,0.4529520363,0
2018p369961,,2018-05-17T21:15:19.477Z,2018-05-17T21:16:54.421Z,172.744156,-41.32075455,1.511158355,99.6875,M,,NonLinLoc,,automatic,nz3drx,14,14,3,0.07894678716,102.9062434,0.8106954643,0
2018p369937,,2018-05-17T21:02:29.288Z,2018-05-17T21:04:59.335Z,172.8037188,-41.91013401,2.423969024,80.9375,M,,NonLinLoc,,automatic,nz3drx,16,16,5,0.1641429622,71.09122676,0.5902715264,0
2018p369792,,2018-05-17T19:46:27.776Z,2018-05-17T19:49:03.335Z,176.5043204,-38.42172106,2.481582789,205.625,M,,NonLinLoc,,automatic,nz3drx,42,42,18,0.2131590136,168.1774018,2.386176578,0
2018p369766,,2018-05-17T19:31:26.242Z,2018-05-17T19:34:29.667Z,174.1527795,-41.67850925,2.692654242,17.890625,M,,NonLinLoc,,automatic,nz3drx,40,40,22,0.08489637801,65.65258595,1.084399218,0
2018p369581,,2018-05-17T17:53:13.549Z,2018-05-17T17:55:16.548Z,175.2998837,-39.1833974,1.262586439,10.15625,M,,NonLinLoc,,automatic,nz3drx,22,22,10,0.1125151536,71.07569646,0.8248894758,0
2018p369562,,2018-05-17T17:43:02.597Z,2018-05-17T17:45:28.881Z,167.9251737,-44.3169138,2.889620572,17.1875,M,,NonLinLoc,,automatic,nz3drx,20,20,6,0.3587419643,204.5896519,1.23499656,0
2018p369538,,2018-05-17T17:30:07.453Z,2018-05-17T17:32:05.538Z,176.6708558,-39.92842574,1.628230861,24.21875,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1760223374,82.29756591,0.4575260006,0
2018p369466,,2018-05-17T16:51:55.173Z,2018-05-17T16:54:53.342Z,176.5197817,-37.54548961,2.975689125,142.8125,M,,NonLinLoc,,automatic,nz3drx,79,79,36,0.3010048293,122.7209205,1.707978866,0
2018p369458,,2018-05-17T16:47:36.734Z,2018-05-17T16:49:40.603Z,174.4745574,-39.97396669,2.376554601,96.875,M,,NonLinLoc,,automatic,nz3drx,13,13,2,0.8793328419,135.2716983,1.349042085,0
2018p369447,,2018-05-17T16:41:36.039Z,2018-05-17T16:43:52.765Z,174.4008999,-40.91093381,2.110493893,64.53125,M,,NonLinLoc,,automatic,nz3drx,24,24,8,0.3168948276,83.13585397,0.5741458619,0
2018p369434,,2018-05-17T16:35:00.765Z,2018-05-17T16:37:14.405Z,172.7799169,-41.25503579,1.728488265,116.5625,M,,NonLinLoc,,automatic,nz3drx,16,16,4,0.1448304983,100.0233935,1.393113397,0
2018p369307,,2018-05-17T15:26:51.664Z,2018-05-17T15:28:53.668Z,176.8201534,-39.65962908,1.578445927,29.84375,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1412036041,74.69115696,0.5153608833,0
2018p368955,,2018-05-17T12:19:35.516Z,2018-05-17T12:21:54.953Z,178.4653957,-37.51944533,2.209351541,20.9375,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1363924727,261.0977462,0.8209633086,0
2018p368878,,2018-05-17T11:38:24.646Z,2018-05-17T11:40:26.254Z,177.8775115,-37.46115663,2.155154561,58.4375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.3083220739,232.7487132,0.842884174,0
2018p368781,,2018-05-17T10:46:46.526Z,2018-05-17T10:48:50.985Z,173.2372626,-41.23518154,2.253095604,84.6875,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.1078889041,102.8890897,0.9074578294,0
2018p368697,,2018-05-17T10:01:46.378Z,2018-05-17T13:09:25.775Z,173.6257813,-42.31633991,2.177032628,10.15625,M,,NonLinLoc,,automatic,nz3drx,18,18,5,0.1188519686,149.0774416,1.13238628,0
2018p368656,,2018-05-17T09:40:04.992Z,2018-05-17T13:02:04.914Z,174.0910246,-40.24770738,2.795031407,79.53125,M,,NonLinLoc,,automatic,nz3drx,67,67,31,0.5718802315,106.664982,0.9621823337,0
2018p368601,,2018-05-17T09:10:38.932Z,2018-05-17T09:12:13.716Z,175.6727761,-40.52940002,1.708278752,23.515625,M,,NonLinLoc,,automatic,nz3drx,18,18,8,0.1530302312,86.39807611,0.4335147526,0
2018p368580,,2018-05-17T08:59:42.531Z,2018-05-17T12:36:17.315Z,174.1328694,-41.27668298,2.553703193,44.84375,M,,NonLinLoc,,automatic,nz3drx,32,32,18,0.1262550266,64.06715786,0.5129392532,0
2018p368529,,2018-05-17T08:32:19.667Z,2018-05-17T08:33:49.506Z,176.5342662,-39.21556944,1.863846449,9.8046875,M,,NonLinLoc,,automatic,nz3drx,23,23,13,0.05721273964,55.34019272,0.3470659652,0
2018p368469,,2018-05-17T08:00:24.390Z,2018-05-17T08:02:02.454Z,174.4773123,-40.6763317,1.94465695,22.34375,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.3737378551,190.6890766,0.3538410436,0
2018p368425,,2018-05-17T07:37:16.451Z,2018-05-17T08:20:38.223Z,175.9142894,-39.51886238,0.9931416739,29.84375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1194157771,103.2998221,1.122959495,0
2018p368400,,2018-05-17T07:23:43.991Z,2018-05-17T07:25:14.451Z,175.7296817,-40.92705602,1.611725182,22.34375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.1929032768,108.2526921,0.1761601915,0
2018p368333,,2018-05-17T06:47:55.131Z,2018-05-17T06:50:13.538Z,173.1192602,-41.57886987,2.733052778,60.3125,M,,NonLinLoc,,automatic,nz3drx,20,20,11,0.244839998,103.6898884,1.543055414,0
2018p368307,,2018-05-17T06:34:28.900Z,2018-05-17T06:36:05.667Z,173.9425759,-41.92177594,1.695553194,21.40625,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.2105487038,161.4777572,0.3829022015,0
2018p368298,,2018-05-17T06:29:34.123Z,2018-05-17T11:58:28.506Z,173.0710935,-42.01644372,2.788827576,78.59375,M,,NonLinLoc,,automatic,nz3drx,35,35,15,0.2808779023,64.43208962,0.6055159918,0
2018p368284,,2018-05-17T06:21:47.580Z,2018-05-17T06:24:25.433Z,176.0619212,-38.27807169,2.917908268,131.5625,M,,NonLinLoc,,automatic,nz3drx,85,85,49,0.41579258,59.1686525,1.435640812,0
2018p368265,,2018-05-17T06:11:46.036Z,2018-05-17T06:14:07.654Z,173.9598766,-41.97066837,2.240467828,26.5625,M,,NonLinLoc,,automatic,nz3drx,28,28,8,0.2609529519,153.7698463,0.8054642482,0
2018p368241,,2018-05-17T05:59:22.258Z,2018-05-17T06:01:45.655Z,178.351671,-37.48925629,2.442120869,20.9375,M,,NonLinLoc,,automatic,nz3drx,16,16,7,0.08497278508,244.8341988,0.9549858199,0
2018p368178,,2018-05-17T05:26:21.628Z,2018-05-17T05:28:22.206Z,176.4600805,-40.19707717,1.154893379,45.3125,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.1314527468,89.43306764,1.55917117,0
2018p368132,,2018-05-17T05:00:45.993Z,2018-05-17T05:02:24.563Z,176.7742352,-39.91820815,1.705617406,29.84375,M,,NonLinLoc,,automatic,nz3drx,16,16,8,0.1300876697,107.9932762,0.4256498547,0
2018p368131,,2018-05-17T05:00:12.631Z,2018-05-17T05:02:03.268Z,170.8292556,-43.27002766,1.70545552,5.234375,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.2070608744,76.72632777,0.735252242,0
2018p368025,,2018-05-17T04:03:48.957Z,2018-05-17T04:05:45.844Z,172.2850054,-41.62276817,2.14363649,14.84375,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.3786261028,121.719695,0.4423376978,0
2018p367874,,2018-05-17T02:43:24.810Z,2018-05-17T02:44:53.642Z,175.5624449,-41.13800521,1.522713489,17.890625,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.0516191,78.55617764,0.256478366,0
2018p367863,,2018-05-17T02:37:38.987Z,2018-05-17T02:39:03.770Z,177.5298457,-37.45031902,2.430387228,15.3125,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.357525439,153.9260189,0.8336553047,0
2018p367786,,2018-05-17T01:56:47.664Z,2018-05-17T01:59:11.095Z,175.6812124,-38.60312374,2.65876896,117.5,M,,NonLinLoc,,automatic,nz3drx,24,24,7,0.83229614,135.7756523,1.31358169,0
2018p367640,,2018-05-17T00:39:01.097Z,2018-05-17T00:41:13.346Z,168.3542773,-44.58163786,2.107763397,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,1,0.3133976952,136.3147301,1.093440678,0
2018p367635,,2018-05-17T00:36:08.104Z,2018-05-17T00:38:31.353Z,168.3380113,-44.59456486,2.856148542,5.46875,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.2993340961,134.8811141,1.303520637,0
2018p367630,,2018-05-17T00:33:29.685Z,2018-05-17T00:35:41.307Z,168.3654404,-44.58864324,2.77671881,6.40625,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.5327866132,165.5792162,1.103829406,0
2018p367627,,2018-05-17T00:31:45.867Z,2018-05-17T00:33:59.292Z,174.6174542,-39.12590199,2.098115841,25.15625,M,,NonLinLoc,,automatic,nz3drx,21,21,7,0.109004928,109.1143926,1.889518836,0
2018p367576,,2018-05-17T00:04:57.418Z,2018-05-17T00:08:01.099Z,168.3410392,-44.60803374,3.037188098,5.46875,M,,NonLinLoc,,automatic,nz3drx,19,19,10,0.2988501157,131.378714,1.297498881,0
2018p367561,earthquake,2018-05-16T23:56:57.505Z,2018-05-17T01:48:29.640Z,168.3277283,-44.57834625,3.997621158,2.337422609,M,,LOCSAT,confirmed,manual,iasp91,33,22,18,0.3019077778,141.6800842,0.5851612098,0
2018p367458,,2018-05-16T23:01:54.267Z,2018-05-16T23:03:54.631Z,173.051279,-41.1729264,2.176193835,96.875,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.2506675705,109.5081462,0.9274054879,0
2018p367456,,2018-05-16T23:01:06.501Z,2018-05-16T23:03:20.623Z,175.932874,-38.96761587,1.615262844,92.1875,M,,NonLinLoc,,automatic,nz3drx,22,22,7,0.234795222,148.3138199,1.066605891,0
2018p367415,,2018-05-16T22:38:48.177Z,2018-05-16T22:39:54.583Z,176.2169465,-38.32244328,1.808648377,5.1171875,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.02501394393,125.6843897,0.4052089061,0
2018p367413,,2018-05-16T22:37:50.406Z,2018-05-16T22:43:36.046Z,176.2287614,-38.32197402,1.768708348,5.1171875,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.01690611732,82.63821241,0.4306669403,0
2018p367382,,2018-05-16T22:21:32.840Z,2018-05-16T22:23:12.342Z,171.054522,-43.31491458,1.638111345,10.859375,M,,NonLinLoc,,automatic,nz3drx,13,13,3,0.3368016966,69.59885537,0.4673077166,0
2018p367374,,2018-05-16T22:17:05.031Z,2018-05-16T22:19:14.658Z,176.6915906,-39.82156014,2.19012772,22.109375,M,,NonLinLoc,,automatic,nz3drx,31,31,20,0.1450051607,70.18419384,0.5518197744,0
2018p367299,,2018-05-16T21:37:08.180Z,2018-05-16T21:39:32.029Z,174.2914098,-41.70176553,1.996139953,17.65625,M,,NonLinLoc,,automatic,nz3drx,20,20,6,0.07624217921,136.8218259,0.4542120323,0
2018p367275,,2018-05-16T21:24:29.917Z,2018-05-16T21:26:44.878Z,176.6910451,-39.82654323,2.250974348,21.171875,M,,NonLinLoc,,automatic,nz3drx,34,34,20,0.1465796236,71.33243609,0.5453857405,0
2018p367255,,2018-05-16T21:13:34.328Z,2018-05-16T21:15:36.957Z,176.355288,-39.89975065,1.563122482,15.546875,M,,NonLinLoc,,automatic,nz3drx,16,16,9,0.120638522,81.86345596,0.4295449614,0
2018p367245,,2018-05-16T21:08:33.121Z,2018-05-17T01:56:13.434Z,173.5109658,-42.48655844,3.019321664,25.15625,M,,NonLinLoc,,automatic,nz3drx,39,39,18,0.07363749273,142.6277821,1.170961844,0
2018p367209,,2018-05-16T20:48:59.587Z,2018-05-16T20:52:25.688Z,173.0958853,-41.45967223,2.706447275,79.53125,M,,NonLinLoc,,automatic,nz3drx,38,38,18,0.260499642,47.35441668,0.806159299,0
2018p367098,,2018-05-16T19:49:33.853Z,2018-05-16T19:52:06.842Z,179.0771484,-36.16699219,3.216330431,34.22851563,M,,NonLinLoc,,automatic,iaspei91,14,14,7,1.526215221,316.1196749,0.3270779228,0
2018p367021,,2018-05-16T19:08:57.227Z,2018-05-16T19:11:13.226Z,178.5158813,-37.81911816,2.280468839,21.40625,M,,NonLinLoc,,automatic,nz3drx,18,18,10,0.07967453152,233.5731211,0.7454667677,0
2018p367002,,2018-05-16T18:59:06.001Z,2018-05-16T19:03:17.891Z,166.9331123,-45.42062479,3.414617241,26.5625,M,,NonLinLoc,,automatic,nz3drx,30,30,12,0.164110514,211.3823214,1.294391576,0
2018p366891,,2018-05-16T17:59:53.926Z,2018-05-16T18:01:11.610Z,177.2090501,-39.13821403,1.430649647,18.59375,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.06529542887,213.9328187,0.1890101928,0
2018p366836,,2018-05-16T17:30:26.965Z,2018-05-16T17:32:51.237Z,173.4143789,-40.66631541,2.728642845,139.0625,M,,NonLinLoc,,automatic,nz3drx,35,35,9,0.4065662395,122.4128706,1.049824277,0
2018p366730,,2018-05-16T16:33:51.853Z,2018-05-16T16:35:09.805Z,175.4925422,-38.97750393,1.684005287,74.375,M,,NonLinLoc,,automatic,nz3drx,12,12,1,0.2272184488,174.5629971,1.095694216,0
2018p366650,,2018-05-16T15:51:06.423Z,2018-05-16T15:53:51.047Z,177.8393555,-42.59033203,3.384618419,34.91308594,M,,NonLinLoc,,automatic,iaspei91,33,33,9,2.163634006,274.9828617,0.3991349037,0
2018p366622,,2018-05-16T15:36:43.977Z,2018-05-16T15:39:04.219Z,172.6742415,-41.29865464,2.586875463,97.8125,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.1185693032,111.3530204,1.0067004,0
2018p366617,,2018-05-16T15:33:38.050Z,2018-05-16T15:35:22.293Z,175.4264834,-40.67461092,1.477275131,24.21875,M,,NonLinLoc,,automatic,nz3drx,12,12,5,0.1159074497,172.3308161,0.4810645017,0
2018p366382,,2018-05-16T13:28:39.838Z,2018-05-16T13:30:47.870Z,174.1629764,-40.37499416,2.277038947,71.5625,M,,NonLinLoc,,automatic,nz3drx,23,23,7,0.4680809305,104.6492581,0.7621096873,0
2018p366377,,2018-05-16T13:25:40.514Z,2018-05-16T13:27:27.002Z,176.3650248,-38.45577038,1.990204307,58.90625,M,,NonLinLoc,,automatic,nz3drx,19,19,10,0.3055236077,127.9342867,0.596579027,0
2018p366355,,2018-05-16T13:14:29.878Z,2018-05-16T13:16:33.921Z,175.9948336,-40.62736918,2.00085224,25.859375,M,,NonLinLoc,,automatic,nz3drx,24,24,12,0.07266954768,55.66393438,0.6779731628,0
2018p366356,,2018-05-16T13:14:28.946Z,2018-05-16T13:17:59.393Z,173.4865677,-42.44412951,3.228442,45.3125,M,,NonLinLoc,,automatic,nz3drx,34,34,15,0.6203598516,142.4999672,1.033555366,0
2018p366354,,2018-05-16T13:13:25.190Z,2018-05-16T13:14:26.420Z,168.3542773,-44.58163786,2.031426141,5.46875,M,,NonLinLoc,,automatic,nz3drx,10,10,1,0.3133976952,136.3147301,0.9160858507,0
